Version;Implicit;DataOwnerCode;OrganizationalUnitCode;Name;OrganizationalUnitType;Description
1;true;CXX;A001;Oosterbeek - Velp;LINE;
1;true;CXX;A002;Arnhem CS - De Laar West;LINE;
1;true;CXX;A003;Arnhem Burgers Zoo - Het Duifje;LINE;
1;true;CXX;A004;Arnhem CS - Kronenburg;LINE;
1;true;CXX;A005;Arnhem Schuytgraaf - Presikhaaf;LINE;
1;true;CXX;A006;Arnhem De Laar West - Elsweide;LINE;
1;true;CXX;A007;Arnhem Geitenkamp - Rijkerswoerd;LINE;
1;true;CXX;A008;Velp - Arnhem CS;LINE;
1;true;CXX;A009;Schaarsbergen - Arnhem CS;LINE;
1;true;CXX;A010;Arnhem CS - Papendal;LINE;
1;true;CXX;A011;Station Arnhem Zuid - Het Duifje;LINE;
1;true;CXX;A012;Arnhem CS - IJsseloord 2;LINE;
1;true;CXX;A013;Arnhem CS - Klarendal;LINE;
1;true;CXX;A014;Arnhem CS - Elst - Nijmegen Brakkenstein;LINE;
1;true;CXX;A026;Arnhem CS - Dieren Station;LINE;
1;true;CXX;A027;Arnhem CS - Doetinchem;LINE;
1;true;CXX;A029;Arnhem CS - Doetinchem;LINE;
1;true;CXX;A033;Arnhem CS - Bemmel -  Nijmegen CS;LINE;
1;true;CXX;A035;Bemmel - Elst - Zetten;LINE;
1;true;CXX;A043;Apeldoorn Station - Arnhem CS;LINE;
1;true;CXX;A051;Wageningen Station - Arnhem CS;LINE;
1;true;CXX;A054;Wageningen - Heteren;LINE;
1;true;CXX;A056;Wageningen Station - Arnhem CS;LINE;
1;true;CXX;A060;Tolkamer Lobede - Arnhem CS;LINE;
1;true;CXX;A061;Westervoort Station - Duiven Centerpoort Noord;LINE;
1;true;CXX;A062;Duiven Centerpoort Noord - Arnhem CS;LINE;
1;true;CXX;A066;Westervoort Station - Centerpoort Nieuwgraaf;LINE;
1;true;CXX;A070;Giesbeek - Rozendaal;LINE;
1;true;CXX;A071;Eerbeek - Rozendaal;LINE;
1;true;CXX;A072;Arnhem CS - Huissen Bergerden;LINE;
1;true;CXX;A078;Papendal - Beekdal Lyceum;LINE;
1;true;CXX;A300;Arnhem CS - Nijmegen Heyendaal;LINE;
1;true;CXX;A331;Velp Zuid - Nijmegen Weezenhof;LINE;
1;true;CXX;A352;Wageningen Station - Arnhem CS;LINE;
1;true;CXX;A524;Spankeren - Dieren Station;LINE;
1;true;CXX;A525;Dieren Station - Dieren West;LINE;
1;true;CXX;A526;Dieren Station - Dieren Noord;LINE;
1;true;CXX;A556;Heteren - Elst;LINE;
1;true;CXX;A560;Herwen - Zevenaar Ziekenhuis;LINE;
1;true;CXX;A566;Spijk - Zevenaar Station;LINE;
1;true;CXX;A589;Doorwerth De Weerd - Wolfheze Het Schild;LINE;
1;true;CXX;A590;Doorwerth De Weerd - Wolfheze Het Schild;LINE;
1;true;CXX;C144;Harderwijk - Zeewolde;LINE;
1;true;CXX;CXX;Connexxion;BEDR;
1;true;CXX;E625;Zeewolde - Amersfoort;LINE;
1;true;CXX;F021;Dronten stadsdienst;LINE;
1;true;CXX;F022;Dronten stadsdienst;LINE;
1;true;CXX;F032;Hilversum - Huizen;LINE;
1;true;CXX;F100;Bussum - Blaricum;LINE;
1;true;CXX;F101;Bussum - Blaricum;LINE;
1;true;CXX;F104;Hilversum - Nieuw Loosdrecht;LINE;
1;true;CXX;F105;Bussum - Hilversum;LINE;
1;true;CXX;F106;Weesp - Nederhorst den Berg;LINE;
1;true;CXX;F107;Huizen - Hilversum;LINE;
1;true;CXX;F108;Huizen - Hilversum;LINE;
1;true;CXX;F109;Bussum - Hilversum;LINE;
1;true;CXX;F110;Bussum - Weesp;LINE;
1;true;CXX;F140;Emmeloord - Lelystad;LINE;
1;true;CXX;F142;Nijkerk - Zeewolde - Harderwijk;LINE;
1;true;CXX;F143;Kampen - Dronten;LINE;
1;true;CXX;F145;Lelystad - Swifterbant;LINE;
1;true;CXX;F146;Emmeloord - Dronten;LINE;
1;true;CXX;F147;Harderwijk - Dronten;LINE;
1;true;CXX;F148;Lelystad - Harderwijk;LINE;
1;true;CXX;F149;Urk - Nagele;LINE;
1;true;CXX;F159;Almere Stad - Zeewolde - Harderwijk;LINE;
1;true;CXX;F160;Almere - Zeewolde;LINE;
1;true;CXX;F163;Lelystad - Dronten;LINE;
1;true;CXX;F164;Swifterbant - Lelystad via Runderweg;LINE;
1;true;CXX;F202;Blaricum - Amsterdam;LINE;
1;true;CXX;F209;Blaricum - Amsterdam;LINE;
1;true;CXX;F210;Bussum - Weesp;LINE;
1;true;CXX;F301;Hilversum Station - Kerkelanden;LINE;
1;true;CXX;F302;Hilversum Station - Erfgooierskwartier;LINE;
1;true;CXX;F303;Hilversum Station - Tergooi Ziekenhuis;LINE;
1;true;CXX;F320;Amsterdam - Hilversum;LINE;
1;true;CXX;F602;Naarden - Amsterdam;LINE;
1;true;CXX;F609;Blaricum - Amsterdam;LINE;
1;true;CXX;F663;Lelystad - Kampen Pieter Zandt;LINE;
1;true;CXX;G011;Kampen Station - Flevowijk - Bovenbroek;LINE;
1;true;CXX;G141;Kampen - Emmeloord - Urk;LINE;
1;true;CXX;G506;Wilsum - Kampen - Hattem;LINE;
1;true;CXX;G641;Zwolle - Kampen - Emmeloord - Urk;LINE;
1;true;CXX;G681;Urk - Emmeloord - Kampen;LINE;
1;true;CXX;H001;Alkmaar Station - de Hoef;LINE;
1;true;CXX;H002;Alkmaar Daalmeer - Station - Overdie;LINE;
1;true;CXX;H003;Alkmaar Station - De Mare - Daalmeer;LINE;
1;true;CXX;H004;Alkmaar Station - Vroonermeer - Daalmeer;LINE;
1;true;CXX;H008;Alkmaar Station - Bestevaerstraat;LINE;
1;true;CXX;H010;St. Pancras - Alkmaar Station;LINE;
1;true;CXX;H011;Hoorn Station - Zwaag Risdam;LINE;
1;true;CXX;H014;Luslijn Hoorn Station - Kersenboogerd;LINE;
1;true;CXX;H028;Texel Veerhaven - Den Burg - De Koog;LINE;
1;true;CXX;H030;Den Helder Station - Station Zuid - Julianadorp;LINE;
1;true;CXX;H031;Den Helder Station Zuid - Den Helder Station;LINE;
1;true;CXX;H033;Den Helder Station - Veerhaven;LINE;
1;true;CXX;H034;Den Helder Station - De Schooten;LINE;
1;true;CXX;H123;Alkmaar Station - De Rijp - Alkmaar Station;LINE;
1;true;CXX;H128;Hoorn Station - Noordbeemster;LINE;
1;true;CXX;H129;Alkmaar Station - Noordbeemster - P'rend Tramplein;LINE;
1;true;CXX;H132;Hoorn Station - Wervershoof - Andijk;LINE;
1;true;CXX;H133;Hoorn Station - Wognum - Opmeer - Hoogwoud;LINE;
1;true;CXX;H134;Hoorn Station - Abbekerk Dorp - Wieringerwerf;LINE;
1;true;CXX;H135;Hoorn Station - Wieringerwerf - Den Helder;LINE;
1;true;CXX;H136;Nibbixwoud - Oostwoud - Hoorn Station;LINE;
1;true;CXX;H139;Hoorn Station - Abbekerk - Opperdoes - Medemblik;LINE;
1;true;CXX;H151;Alkmaar Station - Petten;LINE;
1;true;CXX;H152;Schagen Station - Callantsoog;LINE;
1;true;CXX;H156;Warmenhuizen - Schagen Station;LINE;
1;true;CXX;H157;Alkmaar Station - Tuitjenhorn;LINE;
1;true;CXX;H160;Alkmaar Station - Heerhugowaard;LINE;
1;true;CXX;H162;Alkmaar Station - Heerhugowaard Icaruslaan;LINE;
1;true;CXX;H163;Alkmaar Station - Akersloot - Uitgeest;LINE;
1;true;CXX;H164;Castricum Station - Egmond Binnen - Egmond aan Zee;LINE;
1;true;CXX;H165;Alkmaar Station -  Egmond a/Zee;LINE;
1;true;CXX;H166;Bergen - Alkmaar Station;LINE;
1;true;CXX;H167;Castricum Station - Alkmaar Station;LINE;
1;true;CXX;H169;Alkmaar Station - Oudkarspel;LINE;
1;true;CXX;H232;Hoorn Station - Blokker - Wervershoof - Andijk;LINE;
1;true;CXX;H250;Middenmeer - Alkmaar Station;LINE;
1;true;CXX;H251;Alkmaar Station - Petten via ECN;LINE;
1;true;CXX;H260;Alkmaar Station - Heerhugowaard;LINE;
1;true;CXX;H269;Amsterdam Elandsgracht - Alkmaar Station;LINE;
1;true;CXX;H406;Schagen Station - Zijdewind - Waarland;LINE;
1;true;CXX;H407;Buurtbus Heerhugowaard;LINE;
1;true;CXX;H408;Heiloo 't Loo - Egmond aan Zee;LINE;
1;true;CXX;H409;Obdam - Ursem - Heerhugowaard;LINE;
1;true;CXX;H410;Egmond aan Zee - Schoorl;LINE;
1;true;CXX;H411;Tuitjenhorn - Schagen Station;LINE;
1;true;CXX;H412;Hoorn Station - Hem - Hoogkarspel - Bovenkarspel;LINE;
1;true;CXX;H415;Medemblik - Wervershoof - Westwoud - Hoorn Station;LINE;
1;true;CXX;H416;Kreileroord - Schagen Station;LINE;
1;true;CXX;H417;Schagen Station - Obdam;LINE;
1;true;CXX;H438;Enkhuizen - Bovenkarspel - Wervershoof;LINE;
1;true;CXX;H606;Alkmaar Station - Bergen Europese School;LINE;
1;true;CXX;H612;Hoorn Station - Hem - Hoogkarspel - Bovenkarspel;LINE;
1;true;CXX;H617;Hoogwoud - Obdam;LINE;
1;true;CXX;H636;Aartswoud - Hoogwoud - Hoorn Station;LINE;
1;true;CXX;H650;Lelystad - Enkhuizen - Wervershoof;LINE;
1;true;CXX;H652;Den Helder Station - Schagen Station;LINE;
1;true;CXX;H653;Kreileroord - Wieringerwerf - Middenmeer - Schagen;LINE;
1;true;CXX;H655;Medemblik Station - Kreileroord - Wieringerwerf;LINE;
1;true;CXX;H658;Schagen Station - Anna Paulowna Station;LINE;
1;true;CXX;H660;Alkmaar Station - Alkmaar Hogeschool;LINE;
1;true;CXX;H923;Overal Flex Alkmaar;LINE;
1;true;CXX;H928;Texelhopper;LINE;
1;true;CXX;H936;Overal Flex Hoorn;LINE;
1;true;CXX;H952;Overal Flex Schagen;LINE;
1;true;CXX;H956;Overal Flex Winkel;LINE;
1;true;CXX;H958;Overal Flex Anna Paulowna;LINE;
1;true;CXX;H964;Overal Flex Castricum;LINE;
1;true;CXX;H967;Overal Flex Heiloo;LINE;
1;true;CXX;L002;Eindhoven Blixembosch Oost - Station;LINE;
1;true;CXX;L003;Eindhoven Blixembosch West - Station;LINE;
1;true;CXX;L004;Eindhoven Heesterakker - Station;LINE;
1;true;CXX;L005;Eindhoven 't Hofke - Station;LINE;
1;true;CXX;L006;Nuenen - Eindhoven Station;LINE;
1;true;CXX;L007;Veldhoven MMC - Eindhoven Station;LINE;
1;true;CXX;L008;Acht - Station;LINE;
1;true;CXX;L009;Best Station - Eindhoven Station;LINE;
1;true;CXX;L010;Eindhoven Airport - Eindhoven Station;LINE;
1;true;CXX;L011;Weert Station - Maarheeze - Eindhoven Station;LINE;
1;true;CXX;L012;Eindhoven Gijzenrooi - Eindhoven Station;LINE;
1;true;CXX;L014;Veldhoven Centrum - De Hurk - Eindhoven Station;LINE;
1;true;CXX;L015;Veldhoven Centrum - Eindhoven Station;LINE;
1;true;CXX;L016;Veldhoven MMC - Eindhoven Station;LINE;
1;true;CXX;L017;Eindhoven Kortonjolaan - Station;LINE;
1;true;CXX;L018;Bergeijk - Veldhoven - Eindhoven Station;LINE;
1;true;CXX;L019;Bladel - Eersel - Eindhoven Station;LINE;
1;true;CXX;L020;Veldhoven MMC - Airport - Best Station;LINE;
1;true;CXX;L021;Son en Breugel - Ekkersrijt;LINE;
1;true;CXX;L022;Son en Breugel - Ekkersrijt;LINE;
1;true;CXX;L023;Helmond Station - Boxmeer Station;LINE;
1;true;CXX;L024;Helmond Station - Mierlo - Eindhoven Station;LINE;
1;true;CXX;L025;Helmond Station - Donk - Gemert;LINE;
1;true;CXX;L026;Helmond Station - Gemert;LINE;
1;true;CXX;L028;Meijel - Deurne;LINE;
1;true;CXX;L051;Eeuwsels - Helmond Station;LINE;
1;true;CXX;L052;Rijpelberg  - Helmond Station;LINE;
1;true;CXX;L053;Helmond Straakven - Helmond Station;LINE;
1;true;CXX;L054;Brouwhuis  - Helmond Station;LINE;
1;true;CXX;L055;'t Hofke - Eindhoven Stationsweg;LINE;
1;true;CXX;L101;Best Station - Best Breeven;LINE;
1;true;CXX;L103;Veldhoven Zonderwijk - Eindhoven Station;LINE;
1;true;CXX;L114;Eindhoven Station - De Hurk;LINE;
1;true;CXX;L119;Eindhoven Station - Veldhoven ASML;LINE;
1;true;CXX;L123;Boxmeer - Gemert;LINE;
1;true;CXX;L150;Helmond Station - Dr. Klompelaan;LINE;
1;true;CXX;L255;Budel - Soerendonk - Maarheeze;LINE;
1;true;CXX;L256;Maarheeze station - Valkenswaard;LINE;
1;true;CXX;L257;Geldrop - Heeze - Valkenswaard;LINE;
1;true;CXX;L258;Weert - Maarheeze - Heeze;LINE;
1;true;CXX;L259;Nuenen - Beek en Donk;LINE;
1;true;CXX;L260;Geldrop - Son en Breugel - Best;LINE;
1;true;CXX;L261;Beek en Donk - Mariahout - Helmond;LINE;
1;true;CXX;L262;Helenaveen - Deurne;LINE;
1;true;CXX;L266;Deurne - Someren - Geldrop;LINE;
1;true;CXX;L268;Deurne - Bakel - Elsendorp;LINE;
1;true;CXX;L271;Aalst - Waalre - Veldhoven;LINE;
1;true;CXX;L272;Eersel - Weebosch - Lommel;LINE;
1;true;CXX;L276;Valkenswaard - Achel;LINE;
1;true;CXX;L277;Veldhoven - Valkenswaard;LINE;
1;true;CXX;L291;Middelbeers - Hoogeloon - Hapert - Bladel;LINE;
1;true;CXX;L292;Veldhoven - Hoogeloon;LINE;
1;true;CXX;L294;Veldhoven - Eersel - Vessem;LINE;
1;true;CXX;L317;Dommelen - Valkenswaard - Eindhoven Station;LINE;
1;true;CXX;L318;Luyksgestel - Valkenswaard - Eindhoven Station;LINE;
1;true;CXX;L319;Reusel - Eersel - Eindhoven Station;LINE;
1;true;CXX;L320;Helmond Station - Asten - Eindhoven Station;LINE;
1;true;CXX;L321;Gemert - Eindhoven Station;LINE;
1;true;CXX;L322;Uden - Gerwen - Eindhoven Station;LINE;
1;true;CXX;L324;Geldrop Coevering - Eindhoven Station;LINE;
1;true;CXX;L400;Eindhoven Airport - Eindhoven Station;LINE;
1;true;CXX;L401;Eindhoven Airport - Eindhoven Station;LINE;
1;true;CXX;L402;Veldhoven Zonderwijk - Eindhoven Station;LINE;
1;true;CXX;L403;Oerle Zuid - Eindhoven Station;LINE;
1;true;CXX;L404;Nuenen - Summa College - Eindhoven Station;LINE;
1;true;CXX;L405;Eindhoven Achtse Barrier - Station;LINE;
1;true;CXX;L406;Son - Ekkersrijt - Eindhoven Station;LINE;
1;true;CXX;L407;High Tech Campus - Eindhoven Station;LINE;
1;true;CXX;L408;Station NS - HTC - Waalre;LINE;
1;true;CXX;L610;Eindhoven Internationale school - Station;LINE;
1;true;CXX;L618;Valkenswaard - Bladel Pius X-College;LINE;
1;true;CXX;L656;Budel-Maarheeze-Valkenswaard;LINE;
1;true;CXX;L657;Sterksel-Heeze-Leende-Valkenswaard;LINE;
1;true;CXX;M030;IJmuiden Dennekoplaan - Amsterdam Bijlmer ArenA;LINE;
1;true;CXX;M047;Uithoorn Busstation - Amsterdam CS via Amstelveen;LINE;
1;true;CXX;M057;Aalsmeer - Amsterdam CS IJzijde via Amstelveen;LINE;
1;true;CXX;M090;Knooppunt Noord - P30/Knooppunt ZW via Airport;LINE;
1;true;CXX;M095;Amsterdam Langsom - Schiphol via Badhoevedorp;LINE;
1;true;CXX;M097;Nieuw Vennep - Amsterdam CS IJzijde via Airport;LINE;
1;true;CXX;M149;AML-FLEX: Uithoorn - Amstelveen;LINE;
1;true;CXX;M160;Hoofddorp Station - Hoofddorp Centrum;LINE;
1;true;CXX;M161;Zwanenburg - Hoofddorp Station;LINE;
1;true;CXX;M162;Lisse - Hoofddorp Station;LINE;
